"","package","month","total"
"568","ASSA",2018-07-01,203
"569","ASSA",2018-08-01,180
"570","ASSA",2018-09-01,498
"571","ASSA",2018-10-01,374
"572","ASSA",2018-11-01,394
"573","ASSA",2018-12-01,314
"574","ASSA",2019-01-01,374
"575","ASSA",2019-02-01,403
"576","ASSA",2019-03-01,491
"577","ASSA",2019-04-01,425
"578","ASSA",2019-05-01,585
"579","ASSA",2019-06-01,300
"580","ASSA",2019-07-01,486
"581","ASSA",2019-08-01,108
"582","astsa",2012-10-01,8
"583","astsa",2012-11-01,182
"584","astsa",2012-12-01,171
"585","astsa",2013-01-01,348
"586","astsa",2013-02-01,362
"587","astsa",2013-03-01,404
"588","astsa",2013-04-01,641
"589","astsa",2013-05-01,787
"590","astsa",2013-06-01,544
"591","astsa",2013-07-01,551
"592","astsa",2013-08-01,432
"593","astsa",2013-09-01,737
"594","astsa",2013-10-01,1020
"595","astsa",2013-11-01,931
"596","astsa",2013-12-01,601
"597","astsa",2014-01-01,956
"598","astsa",2014-02-01,1300
"599","astsa",2014-03-01,1578
"600","astsa",2014-04-01,1570
"601","astsa",2014-05-01,1148
"602","astsa",2014-06-01,985
"603","astsa",2014-07-01,1059
"604","astsa",2014-08-01,990
"605","astsa",2014-09-01,1436
"606","astsa",2014-10-01,1951
"607","astsa",2014-11-01,1957
"608","astsa",2014-12-01,1597
"609","astsa",2015-01-01,1612
"610","astsa",2015-02-01,1796
"611","astsa",2015-03-01,1973
"612","astsa",2015-04-01,2933
"613","astsa",2015-05-01,2550
"614","astsa",2015-06-01,2044
"615","astsa",2015-07-01,1610
"616","astsa",2015-08-01,1526
"617","astsa",2015-09-01,2227
"618","astsa",2015-10-01,2685
"619","astsa",2015-11-01,2970
"620","astsa",2015-12-01,2490
"621","astsa",2016-01-01,2736
"622","astsa",2016-02-01,3241
"623","astsa",2016-03-01,3742
"624","astsa",2016-04-01,3756
"625","astsa",2016-05-01,2798
"626","astsa",2016-06-01,2811
"627","astsa",2016-07-01,2549
"628","astsa",2016-08-01,2492
"629","astsa",2016-09-01,3489
"630","astsa",2016-10-01,4401
"631","astsa",2016-11-01,4084
"632","astsa",2016-12-01,4081
